stnid,lat,lon,deparval,accumval,norm
KCAG,40.49278,-107.52417,-366,9/11/17,
KCAE,33.94194,-81.11806,-451,9/11/17,
KCAD,44.28333,-85.41666,-209,9/11/17,
KBZN,45.78806,-111.16084,-608,9/11/17,
KBYI,42.54167,-113.76611,-642,9/11/17,
KBYG,44.38139,-106.72111,-704,9/11/17,
KBWI,39.17334,-76.68389,-423,9/11/17,
KBWG,36.96472,-86.42389,-528,9/11/17,
KBVY,42.58417,-70.9175,-326,9/11/17,
KBVX,35.72611,-91.64722,-192,9/11/17,
KBVS,48.46667,-122.41667,44,9/11/17,
KBVE,29.2,-89.25,-183,9/11/17,
KBUY,36.04667,-79.47694,-597,9/11/17,
KBUU,42.69,-88.30361,-199,9/11/17,
KBUR,34.20056,-118.3575,-145,9/11/17,
KBUF,42.94083,-78.73583,-311,9/11/17,
KBTV,44.46833,-73.15,-262,9/11/17,
KBTR,30.53722,-91.14694,-442,9/11/17,
KBTP,40.77694,-79.94972,-241,9/11/17,
KBTM,45.96472,-112.50056,-457,9/11/17,
KBTL,42.3075,-85.25111,-394,9/11/17,
KBRO,25.91417,-97.42306,-45,9/11/17,
KBRL,40.78333,-91.12528,-407,9/11/17,
KBRD,46.40472,-94.13083,-419,9/11/17,
KBQK,31.25889,-81.46611,-157,9/11/17,
KBPT,29.95056,-94.02056,-388,9/11/17,
KBPK,36.36889,-92.47028,-518,9/11/17,
KBPI,42.58444,-110.1075,-317,9/11/17,
KBOS,42.36055,-71.00972,-369,9/11/17,
KBOI,43.56667,-116.24055,-1106,9/11/17,
KBNO,43.595,-118.95639,-756,9/11/17,
